content,date,
prova,2017-06-01,
prova2,2018-01-01,
Repository opened on Github,2017-07-03,
First corpus of 45 entries,2017-07-05,
21 Learners indexed,2017-07-06,
First automatic tokenization on entries,2017-07-07,
